ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
123018771,"04/11/2023, 12:28:00 AM","05/10/2023, 6:17:13 AM",LEXINGTON PARK,MD,20634,45900 Block FOXCHASE DR,Other,Other,Offense Date: 4/10/20023<br>ASSAULT/DOMESTIC
123018786,"04/11/2023, 1:53:00 AM","05/10/2023, 6:17:13 AM",LEXINGTON PARK,MD,20653,21600 Block ERIC RD,Other,Other,Offense Date: 4/10/20023<br>ASSAULT/DOMESTIC
123017808,"04/05/2023, 5:20:00 PM","05/09/2023, 10:30:03 PM",GREAT MILLS,MD,20653,20800 Block LANGLEY RD,LARCENY - OTHER,Theft,Offense Date: 4/5/20023<br>THEFT
123019712,"04/15/2023, 1:00:00 AM","05/09/2023, 10:30:03 PM",GREAT MILLS,MD,20634,20700 Block OLD GREAT MILLS RD,LARCENY - OTHER,Theft,Offense Date: 4/14/20023<br>THEFT
123019086,"04/12/2023, 7:01:00 AM","05/09/2023, 10:30:03 PM",LEXINGTON PARK,MD,20653,21600 Block LIBERTY ST,LARCENY - OTHER,Theft,Offense Date: 4/12/20023<br>THEFT
123018788,"04/11/2023, 3:14:00 AM","05/09/2023, 10:30:03 PM",CALIFORNIA,MD,20619,23100 Block THREE NOTCH RD,LARCENY - SHOPLIFTING,Theft,Offense Date: 4/10/20023<br>THEFT
123018783,"04/09/2023, 6:04:00 AM","05/09/2023, 10:30:03 PM",CALIFORNIA,MD,20619,45400 Block MIRAMAR WAY,LARCENY - SHOPLIFTING,Theft,Offense Date: 4/8/20023<br>THEFT
123017502,"04/01/2023, 4:00:00 PM","05/09/2023, 10:30:03 PM",LEXINGTON PARK,MD,20653,21600 Block HANCOCK RD,LARCENY - MOTOR VEHICLE PARTS,Theft,Offense Date: 4/1/20023<br>THEFT
123019124,"04/12/2023, 12:30:00 PM","05/09/2023, 10:30:04 PM",ST INIGOES,MD,20684,48700 Block CHISLEYTOWN RD,ASSAULT - OTHER AGGRAVATED,Assault,Offense Date: 4/12/20023<br>SEX OFFENSES
123021318,"04/22/2023, 3:45:00 AM","05/09/2023, 10:30:05 PM",AVENUE,MD,20609,21500 Block ABELL RD,ASSAULT - OTHER DANGEROUS WEAPON,Assault,Offense Date: 4/21/20023<br>ASSAULT/AGGRAVATED
123022514,"04/28/2023, 6:53:00 PM","05/09/2023, 10:30:05 PM",LEONARDTOWN,MD,20650,24000 Block POINT LOOKOUT RD,ASSAULT - SIMPLE,Assault,Offense Date: 4/28/20023<br>ASSAULT
123019462,"04/14/2023, 1:41:00 AM","05/09/2023, 10:30:04 PM",CALIFORNIA,MD,20634,45700 Block CHURCH DR,ASSAULT - KNIFE,Assault,Offense Date: 4/13/20023<br>ASSAULT
123019435,"04/13/2023, 3:25:00 PM","05/09/2023, 10:30:04 PM",LEXINGTON PARK,MD,20653,21200 Block GREAT MILLS RD,ASSAULT - SIMPLE,Assault,Offense Date: 4/13/20023<br>ASSAULT
123018084,"04/07/2023, 4:50:00 AM","05/09/2023, 10:30:04 PM",LEXINGTON PARK,MD,20653,46500 Block ROSEWOOD DR,ASSAULT - SIMPLE,Assault,Offense Date: 4/6/20023<br>ASSAULT
123018429,"04/09/2023, 12:46:00 AM","05/09/2023, 10:30:04 PM",LEONARDTOWN,MD,20650,41800 Block BALDRIDGE ST,ASSAULT - SIMPLE,Assault,Offense Date: 4/8/20023<br>ASSAULT
123018224,"04/07/2023, 4:00:00 AM","05/09/2023, 10:30:04 PM",LEXINGTON PARK,MD,20653,46100 Block RADFORD LN,LARCENY - OTHER,Theft,Offense Date: 4/6/20023<br>VANDALISM
123017429,"04/03/2023, 7:30:00 PM","05/09/2023, 6:35:55 AM",LEXINGTON PARK,MD,20653,22000 Block FLEETS WAY,Other,Other,Offense Date: 4/3/20023<br>ASSAULT/DOMESTIC
123018777,"04/10/2023, 2:40:00 PM","05/09/2023, 6:35:58 AM",CALIFORNIA,MD,20619,45400 Block MIRAMAR WAY,Other,Other,Offense Date: 4/10/20023<br>THEFT
123017609,"04/03/2023, 10:53:00 PM","05/09/2023, 6:35:57 AM",LEXINGTON PARK,MD,20653,21700 Block KEARSARGE PL,Other,Other,Offense Date: 4/3/20023<br>THEFT
123017131,"04/02/2023, 2:15:00 AM","05/09/2023, 6:35:53 AM",CALIFORNIA,MD,20619,45400 Block MIRAMAR WAY,Other,Other,Offense Date: 4/1/20023<br>THEFT
123022504,"04/28/2023, 5:39:00 PM","05/06/2023, 6:26:56 AM",CHARLOTTE HALL,MD,20622,29400 Block CHARLOTTE HALL RD,ASSAULT - SIMPLE,Assault,Offense Date: 4/28/20023<br>ASSAULT
123022321,"04/27/2023, 6:35:00 PM","05/06/2023, 6:26:56 AM",LEXINGTON PARK,MD,20653,22700 Block MAPLE RD,ASSAULT - SIMPLE,Assault,Offense Date: 4/27/20023<br>ASSAULT
123020968,"04/20/2023, 3:30:00 AM","05/04/2023, 10:07:36 PM",CHARLOTTE HALL,MD,20622,29400 Block CHARLOTTE HALL RD,LARCENY - OTHER,Theft,Offense Date: 4/19/20023<br>THEFT
123022232,"04/27/2023, 6:00:00 AM","05/04/2023, 10:07:39 PM",MECHANICSVILLE,MD,20659,29900 Block HOLMES RD,ASSAULT - SIMPLE,Assault,Offense Date: 4/26/20023<br>ASSAULT/DOMESTIC
123021801,"04/25/2023, 6:25:00 AM","05/04/2023, 10:07:38 PM",MECHANICSVILLE,MD,20659,38900 Block EMMART LN,ASSAULT - SIMPLE,Assault,Offense Date: 4/24/20023<br>ASSAULT/DOMESTIC
123021794,"04/25/2023, 4:15:00 AM","05/04/2023, 10:07:38 PM",MECHANICSVILLE,MD,20659,30100 Block DUDLEY RD,ASSAULT - SIMPLE,Assault,Offense Date: 4/24/20023<br>ASSAULT/DOMESTIC
123021723,"04/24/2023, 8:55:00 PM","05/04/2023, 10:07:38 PM",MECHANICSVILLE,MD,20659,29700 Block DONNA DR,ASSAULT - SIMPLE,Assault,Offense Date: 4/24/20023<br>ASSAULT/DOMESTIC
123021668,"04/22/2023, 9:15:00 PM","05/04/2023, 10:07:37 PM",CHARLOTTE HALL,MD,20622,29400 Block CHARLOTTE HALL RD,ASSAULT - SIMPLE,Assault,Offense Date: 4/22/20023<br>ASSAULT
123021563,"04/24/2023, 12:30:00 AM","05/04/2023, 10:07:37 PM",MECHANICSVILLE,MD,20659,26000 Block SYCAMORE DR,ASSAULT - SIMPLE,Assault,Offense Date: 4/23/20023<br>ASSAULT/DOMESTIC
123021097,"04/21/2023, 4:30:00 AM","05/04/2023, 10:07:36 PM",MECHANICSVILLE,MD,20659,28100 Block BEN OAKS DR,ASSAULT - SIMPLE,Assault,Offense Date: 4/20/20023<br>ASSAULT/DOMESTIC
123021684,"04/24/2023, 12:15:00 PM","05/04/2023, 10:07:37 PM",CHARLOTTE HALL,MD,20622,29400 Block CHARLOTTE HALL RD,ASSAULT - KNIFE,Assault,Offense Date: 4/24/20023<br>ASSAULT
123017306,"04/03/2023, 4:13:00 AM","05/04/2023, 6:08:48 AM",LEXINGTON PARK,MD,20653,46800 Block ROGERS DR,ASSAULT - SIMPLE,Assault,Offense Date: 4/2/20023<br>ASSAULT
123018315,"04/08/2023, 8:45:00 AM","05/04/2023, 6:08:50 AM",LEXINGTON PARK,MD,.,PEGG RD,ASSAULT - FIREARM,Assault,Offense Date: 4/8/20023<br>ASSAULT/AGGRAVATED
123017692,"04/05/2023, 5:37:00 AM","05/04/2023, 6:08:49 AM",GREAT MILLS,MD,20634,20700 Block OLD GREAT MILLS RD,MURDER,Homicide,Offense Date: 4/4/20023<br>MURDER
123018094,"04/07/2023, 6:00:00 AM","05/04/2023, 6:08:49 AM",HOLLYWOOD,MD,20636,44600 Block THREE COVES RD,ASSAULT - SIMPLE,Assault,Offense Date: 4/6/20023<br>ASSAULT/DOMESTIC
123017659,"04/05/2023, 1:21:00 AM","05/04/2023, 6:08:49 AM",CALIFORNIA,MD,20619,23100 Block MOUNTAIN LAUREL LN,ASSAULT - SIMPLE,Assault,Offense Date: 4/4/20023<br>ASSAULT/DOMESTIC
123018303,"04/04/2023, 4:30:00 AM","05/04/2023, 6:08:49 AM",LEXINGTON PARK,MD,20653,48000 Block WINDWARD CIR,ASSAULT - SIMPLE,Assault,Offense Date: 4/3/20023<br>ASSAULT/DOMESTIC
123022487,"04/27/2023, 12:30:00 AM","05/03/2023, 6:58:09 AM",CALIFORNIA,MD,20619,23400 Block THREE NOTCH RD,LARCENY - OTHER,Theft,Offense Date: 4/26/20023<br>THEFT
123022138,"04/26/2023, 7:30:00 PM","05/03/2023, 6:58:09 AM",LEXINGTON PARK,MD,20653,22700 Block MAPLE RD,ASSAULT - SIMPLE,Assault,Offense Date: 4/26/20023<br>ASSAULT
123021855,"04/25/2023, 7:10:00 AM","05/03/2023, 6:58:09 AM",LEXINGTON PARK,MD,20653,22000 Block GLOUCESTER CT,ASSAULT - SIMPLE,Assault,Offense Date: 4/25/20023<br>ASSAULT/DOMESTIC
123018241,"04/07/2023, 10:14:00 PM","05/03/2023, 6:58:06 AM",MECHANICSVILLE,MD,20659,MECHANICSVILLE RD,ASSAULT - SIMPLE,Assault,Offense Date: 4/7/20023<br>ASSAULT/OFFICER
123020957,"04/19/2023, 8:00:00 PM","05/02/2023, 11:10:33 PM",LEXINGTON PARK,MD,20653,19800 Block THREE NOTCH RD,ASSAULT - SIMPLE,Assault,Offense Date: 4/19/20023<br>ASSAULT
123019419,"04/13/2023, 9:03:00 PM","05/02/2023, 11:10:33 PM",MECHANICSVILLE,MD,20659,29600 Block POINT LOOKOUT RD,ASSAULT - SIMPLE,Assault,Offense Date: 4/13/20023<br>ASSAULT
