month,bmore,bco,charles,harco,hville,moco,pg_county,st_mary,salisbury
2021-01-01T00:00:00Z,4.120153121100419,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-01T00:00:00Z,3.5966910442392996,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-01T00:00:00Z,4.137038994547551,NA,NA,NA,NA,NA,NA,NA,NA
2021-04-01T00:00:00Z,3.630462791133566,NA,NA,NA,NA,NA,NA,NA,NA
2021-05-01T00:00:00Z,5.099533781034125,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-01T00:00:00Z,5.622995857895243,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-01T00:00:00Z,4.137038994547551,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-01T00:00:00Z,5.01510441379846,NA,NA,NA,NA,NA,NA,NA,NA
2021-09-01T00:00:00Z,4.728044565197202,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-01T00:00:00Z,4.322783602466013,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-01T00:00:00Z,4.66050107140867,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-01T00:00:00Z,4.761816312091468,NA,0.060529390045336515,NA,NA,0.00945893921780248,NA,NA,NA
2022-01-01T00:00:00Z,5.454137123423915,1.657454666851612,1.6342935312240858,NA,NA,0.8985992256912356,2.3074505594784536,NA,NA
2022-02-01T00:00:00Z,3.71489215836923,1.0932147802638292,1.5132347511334128,NA,NA,1.002647557087063,1.7123162522826534,NA,NA
2022-03-01T00:00:00Z,3.7655497787106285,1.3165597353714933,0.9684702407253842,NA,NA,1.002647557087063,2.338773417751917,NA,NA
2022-04-01T00:00:00Z,3.630462791133566,1.257784747185266,1.2105878009067303,NA,NA,0.7850919550776059,1.9524581657125377,NA,NA
2022-05-01T00:00:00Z,4.255240108677482,1.3518247282832296,1.4527053610880762,NA,NA,1.0972369492650877,2.6206791422130853,NA,NA
2022-06-01T00:00:00Z,4.677386944855803,1.3635797259204752,1.876411091405432,NA,NA,1.0972369492650877,2.401419134298843,NA,NA
2022-07-01T00:00:00Z,5.234620768611188,1.3518247282832296,3.0264695022668255,NA,NA,0.9080581649090381,2.182159126384601,NA,NA
2022-08-01T00:00:00Z,5.758082845472306,1.5751696833908937,2.5422343819041333,NA,NA,1.0594011923938778,3.1322858273463168,NA,NA
2022-09-01T00:00:00Z,5.589224111000978,1.5516596881164026,2.723822552040143,NA,NA,1.3526283081457546,2.8712620084007905,NA,NA
2022-10-01T00:00:00Z,6.298430795780558,1.3400697306459843,2.360646211768124,0.6173744607619944,7.215007215007215,1.1634495237897051,3.9153572841828965,0.3533287989470802,0.6138170211459965
2022-11-01T00:00:00Z,5.859398086155103,1.586924681028139,1.6948229212694224,0.42444494177387115,6.2530062530062525,1.5134302748483968,3.6334515597217276,0.08833219973677005,1.227634042291993
2022-12-01T00:00:00Z,5.9775992002850336,1.9865946006944852,2.844881332130816,0.6173744607619944,8.177008177008178,1.8066573906002736,5.251799237183992,NA,3.069085105729982
2023-01-01T00:00:00Z,5.910055706496502,1.7750046432240667,1.7553523113147587,0.6173744607619944,10.582010582010582,1.9580004180851134,6.7239735760367605,0.3533287989470802,2.762176595156984
2023-02-01T00:00:00Z,6.956979860218739,1.8572896266847851,2.9054107221761525,0.3086872303809972,12.987012987012987,1.929623600431706,7.152052639107423,0.3533287989470802,0.9207255317189946
2023-03-01T00:00:00Z,9.20280102868741,2.4685495038215497,2.844881332130816,0.46303084557149576,14.911014911014911,1.9580004180851134,6.181044032630066,0.5299931984206203,5.524353190313968
2023-04-01T00:00:00Z,9.185915155240277,2.950504406948614,2.4211756018134607,0.6945462683572438,15.392015392015391,1.7026090592044465,5.669437347496834,0.6183253981573903,3.069085105729982
2023-05-01T00:00:00Z,16.51438423129594,4.20828915413388,2.360646211768124,0.5016167493691205,17.797017797017798,2.1755560200945703,5.857374497137613,0.5299931984206203,3.3759936163029804
2023-06-01T00:00:00Z,18.00034109464363,4.549184085613999,2.118528651586778,1.0418194025358656,13.949013949013949,2.3174401083616076,5.33532685924656,0.08833219973677005,1.534542552864991
2023-07-01T00:00:00Z,26.088674475820273,5.677663858789565,2.723822552040143,1.1189912101311148,10.582010582010582,2.582290406460077,7.026761206013571,0.1766643994735401,3.6829021268759785
2023-08-01T00:00:00Z,24.95732095486237,5.759948842250283,2.844881332130816,1.2347489215239889,17.316017316017316,3.2727929693596582,6.22280784366135,NA,5.21744467974097
2023-09-01T00:00:00Z,20.972254821339018,5.689418856426809,2.1790580416321146,0.7331321721548685,3.367003367003367,3.0079426712611887,4.896806843418076,NA,1.534542552864991
2023-10-01T00:00:00Z,20.803396086867686,NA,0.12105878009067303,NA,NA,3.66060947728956,5.481500197856056,NA,NA
2023-11-01T00:00:00Z,2.1782776746801393,NA,NA,NA,NA,0.6999615021173835,0.31322858273463167,NA,NA
