ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
202300073292,"03/22/2023, 10:40:00 AM","04/13/2023, 9:50:03 PM",EDGEWOOD,MD,.,2100 Block EMMORTON PARK RD, HCSO]-DRUG/NARCOTIC VIOLATIONS,Drugs,DRUG/NARCOTIC VIOLATIONS
202300078177,"03/27/2023, 7:45:00 PM","04/13/2023, 9:49:51 PM",PYLESVILLE,MD,.,2100 Block TELEGRAPH RD, HCSO]-MISSING PERSON,Missing Person,MISSING PERSON
202300074518,"03/23/2023, 3:52:00 PM","04/13/2023, 9:50:04 PM",ABERDEEN,MD,.,4900 Block BRISTLE CONE CIR, HCSO]-M/V-RECOVERED STOLEN FROM OTHER JURISDICTION,Vehicle Recovery,M/V-RECOVERED STOLEN FROM OTHER JURISDICTION
202300079224,"03/29/2023, 12:15:00 AM","04/13/2023, 9:49:52 PM",FOREST HILL,MD,.,1 Block OSBORNE PKY, HCSO]-POLICE VEHICLE PURSUIT,Other,POLICE VEHICLE PURSUIT
202300077154,"03/26/2023, 5:25:00 PM","04/13/2023, 9:49:50 PM",FOREST HILL,MD,21050,LOCKHART CIR, HCSO]-PROPERTY-LOST/FOUND/RECOVERED,Other,PROPERTY-LOST/FOUND/RECOVERED
202300075671,"03/24/2023, 8:45:00 PM","04/13/2023, 9:50:05 PM",EDGEWOOD,MD,.,2400 Block WILLOUGHBY BEACH RD, HCSO]-WEAPON LAW VIOLATIONS,Weapons Offense,WEAPON LAW VIOLATIONS
202300078345,"03/28/2023, 12:55:00 AM","04/13/2023, 9:49:47 PM",JOPPA,MD,.,1600 Block HEMPSTEAD CT, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300073943,"03/22/2023, 3:11:00 AM","04/13/2023, 9:50:03 PM",ABINGDON,MD,.,3300 Block BETTERTON CIR, HCSO]-THEFT - FROM MOTOR VEHICLE,Theft from Vehicle,THEFT - FROM MOTOR VEHICLE
202300076609,"03/25/2023, 11:14:00 PM","04/13/2023, 9:50:06 PM",PYLESVILLE,MD,.,1000 Block SAINT MARYS RD, HCSO]-THEFT - FROM MOTOR VEHICLE,Theft from Vehicle,THEFT - FROM MOTOR VEHICLE
202300073850,"02/05/2023, 7:00:00 AM","04/13/2023, 9:50:03 PM",STREET,MD,.,1300 Block WHITEFORD RD, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202300077416,"03/26/2023, 11:00:00 PM","04/13/2023, 9:49:46 PM",ABERDEEN,MD,.,100 Block SPESUTIA RD, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300079271,"03/29/2023, 1:40:00 AM","04/13/2023, 9:49:48 PM",BEL AIR,MD,.,1 Block W WHEEL RD, HCSO]-THEFT - FROM MOTOR VEHICLE,Theft from Vehicle,THEFT - FROM MOTOR VEHICLE
202300082052,"04/01/2023, 3:00:00 AM","04/13/2023, 9:49:50 PM",JOPPA,MD,.,1000 Block PLAZA CIR," HCSO]-FAMILY OFFENSES, NONVIOLENT",Family Offense,"FAMILY OFFENSES, NONVIOLENT"
202300072972,"03/21/2023, 11:00:00 PM","04/13/2023, 9:50:03 PM",FOREST HILL,MD,.,2600 Block BAILEY RD, HCSO]-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Other Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME
202300081845,"04/01/2023, 12:00:00 AM","04/13/2023, 9:49:50 PM",EDGEWOOD,MD,.,2300 Block HANSON RD," HCSO]-FAMILY OFFENSES, NONVIOLENT",Family Offense,"FAMILY OFFENSES, NONVIOLENT"
202300070193,"03/17/2023, 1:29:00 PM","04/13/2023, 9:50:01 PM",ABINGDON,MD,.,600 Block LONG BAR HARBOR RD, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202300055633,"03/02/2023, 11:30:00 PM","04/13/2023, 9:50:03 PM",JOPPA,MD,.,2200 Block OLD JOPPA RD, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300075011,"03/24/2023, 2:40:00 AM","04/13/2023, 9:49:48 PM",FOREST HILL,MD,.,1800 Block GRAFTON SHOP RD, HCSO]-DRUG OVERDOSE-ACCIDENTAL,Quality of Life,DRUG OVERDOSE-ACCIDENTAL
202300073329,"03/22/2023, 11:00:00 AM","04/13/2023, 9:50:03 PM",HAVRE DE GRACE,MD,.,2200 Block APOLLO TER, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300079531,"03/29/2023, 10:00:00 AM","04/13/2023, 2:19:03 PM",EDGEWOOD,MD,.,1000 Block LAKE FRONT DR," HCSO]-FAMILY OFFENSES, NONVIOLENT",Family Offense,"FAMILY OFFENSES, NONVIOLENT"
202300072654,"03/20/2023, 11:00:00 PM","04/13/2023, 6:02:00 AM",ABINGDON,MD,.,100 Block WALTER WARD BLVD, HCSO]-THEFT - FROM BUILDING,Other Theft,THEFT - FROM BUILDING
202300075539,"03/24/2023, 6:00:00 PM","04/13/2023, 6:01:56 AM",EDGEWOOD,MD,.,1400 Block HARFORD SQUARE DR, HCSO]-EMER EVALUATION/COMMITTMENT,Emergency,EMER EVALUATION/COMMITTMENT
202300078146,"03/24/2023, 11:30:00 PM","04/13/2023, 6:01:55 AM",EDGEWOOD,MD,.,1300 Block ACORN RIDGE CT, HCSO]-M/V UNAUTHORIZED USE,Theft of Vehicle,M/V UNAUTHORIZED USE
202300070569,"03/19/2023, 12:00:00 AM","04/12/2023, 10:29:49 PM",BEL AIR,MD,.,900 Block CONOWINGO RD, HCSO]-WIRE FRAUD,Other Theft,WIRE FRAUD
202300068942,"03/17/2023, 5:00:00 AM","04/12/2023, 10:29:54 PM",STREET,MD,.,3400 Block GRIER NURSERY RD, HCSO]-BURGLARY-RESIDENCE-FORCED,Breaking & Entering,BURGLARY-RESIDENCE-FORCED
202300081471,"03/27/2023, 9:00:00 PM","04/12/2023, 10:29:40 PM",PYLESVILLE,MD,.,100 Block PYLESVILLE RD, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300078253,"03/27/2023, 4:00:00 PM","04/12/2023, 10:29:34 PM",CHURCHVILLE,MD,.,2500 Block BENTON CT, HCSO]-WIRE FRAUD,Other Theft,WIRE FRAUD
202300069331,"03/17/2023, 9:50:00 PM","04/12/2023, 10:29:49 PM",STREET,MD,.,1500 Block ARENA RD, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300080519,"03/30/2023, 10:00:00 AM","04/12/2023, 10:29:38 PM",BEL AIR,MD,21015,1 Block BEL AIR S PKWY, HCSO]-DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Other Property Crime,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY
202300075060,"03/24/2023, 1:10:00 AM","04/12/2023, 10:29:51 PM",JOPPA,MD,.,700 Block JOPPA FARM RD, HCSO]-MISSING PERSON,Missing Person,MISSING PERSON
202300079834,"03/29/2023, 7:00:00 PM","04/12/2023, 10:29:39 PM",EDGEWOOD,MD,.,2300 Block WILLOUGHBY BEACH RD, HCSO]-SUSPICION,Other,SUSPICION
202300078828,"03/28/2023, 6:32:00 AM","04/12/2023, 10:29:35 PM",JOPPA,MD,.,300 Block PULASKI HWY, HCSO]-THEFT - MV PARTS & ACCESSORIES,Other Theft,THEFT - MV PARTS & ACCESSORIES
202300078021,"03/27/2023, 6:27:00 PM","04/12/2023, 10:29:33 PM",HAVRE DE GRACE,MD,.,2100 Block PULASKI HWY, HCSO]-INTIMIDATION,Assault,INTIMIDATION
202300077983,"03/27/2023, 6:00:00 PM","04/12/2023, 10:29:33 PM",EDGEWOOD,MD,.,1900 Block EDGEWATER DR, HCSO]-ALL OTHER OFFENSES,Other,ALL OTHER OFFENSES
202300074326,"03/22/2023, 9:57:00 AM","04/12/2023, 10:29:33 PM",EDGEWOOD,MD,.,2100 Block EMMORTON PARK RD, HCSO]-TRESPASSING,Property Crime,TRESPASSING
202300068271,"02/09/2023, 7:00:00 AM","04/12/2023, 10:29:54 PM",EDGEWOOD,MD,.,1700 Block JUDY WAY, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202300066682,"03/01/2023, 6:59:00 AM","04/12/2023, 10:29:54 PM",FOREST HILL,MD,.,3000 Block ANDOVER RD, HCSO]-FORGERY/COUNTERFEITING,Other Theft,FORGERY/COUNTERFEITING
202300073168,"03/22/2023, 6:45:00 AM","04/12/2023, 10:29:50 PM",EDGEWOOD,MD,.,600 Block SEQUOIA DR, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300056438,"03/03/2023, 11:00:00 PM","04/12/2023, 10:29:48 PM",JOPPA,MD,.,400 Block TRIMBLE RD, HCSO]-CHILD ABUSE-ATTEMPTED RAPE,Assault,CHILD ABUSE-ATTEMPTED RAPE
202300068165,"03/13/2023, 7:00:00 PM","04/12/2023, 10:29:49 PM",EDGEWOOD,MD,.,1900 Block PULASKI HWY, HCSO]-DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Other Property Crime,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY
202300078083,"03/27/2023, 3:30:00 PM","04/12/2023, 10:29:33 PM",BELCAMP,MD,.,4200 Block CHURCH CREEK RD, HCSO]-EMER EVALUATION/COMMITTMENT,Emergency,EMER EVALUATION/COMMITTMENT
202300074937,"03/23/2023, 7:00:00 AM","04/12/2023, 2:42:35 PM",FOREST HILL,MD,.,300 Block SPENCEOLA PKY, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202300076194,"03/25/2023, 11:30:00 AM","04/12/2023, 2:42:59 PM",CHURCHVILLE,MD,.,100 Block CALVARY RD, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300076068,"03/25/2023, 7:00:00 AM","04/12/2023, 2:42:59 PM",BEL AIR,MD,.,GRAFTON SHOP RD & RED PUMP RD, HCSO]-DRUG/NARCOTIC VIOLATIONS,Drugs,DRUG/NARCOTIC VIOLATIONS
202300075161,"03/24/2023, 6:20:00 AM","04/12/2023, 6:09:01 AM",BEL AIR,MD,.,1000 Block ROCK SPRING RD, HCSO]-DRUG/NARCOTIC VIOLATIONS,Drugs,DRUG/NARCOTIC VIOLATIONS
202300077645,"03/27/2023, 6:40:00 AM","04/12/2023, 6:09:03 AM",EDGEWOOD,MD,.,600 Block YORKSHIRE DR, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300081629,"03/31/2023, 4:30:00 AM","04/12/2023, 6:09:04 AM",ABERDEEN,MD,.,200 Block MAYBERRY DR, HCSO]-THEFT - ALL OTHER,Other Theft,THEFT - ALL OTHER
202300075901,"03/21/2023, 5:00:00 PM","04/12/2023, 6:08:26 AM",HAVRE DE GRACE,MD,.,1 Block N EARLTON RD, HCSO]-WIRE FRAUD,Other Theft,WIRE FRAUD
202300069161,"03/17/2023, 2:00:00 PM","04/12/2023, 6:08:56 AM",EDGEWOOD,MD,.,2400 Block WILLOUGHBY BEACH RD, HCSO]-DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Other Property Crime,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY
202300045880,"02/06/2023, 7:00:00 AM","04/12/2023, 6:08:53 AM",BEL AIR,MD,.,200 Block N TOLLGATE RD, HCSO]-THEFT - MV PARTS & ACCESSORIES,Other Theft,THEFT - MV PARTS & ACCESSORIES
202300060267,"03/08/2023, 2:20:00 AM","04/12/2023, 6:08:55 AM",EDGEWOOD,MD,.,1800 Block GREMPLER WAY, HCSO]-WEAPON LAW VIOLATIONS,Weapons Offense,WEAPON LAW VIOLATIONS
202300061689,"03/09/2023, 4:50:00 PM","04/12/2023, 6:08:49 AM",EDGEWOOD,MD,.,1700 Block TRIMBLE RD, HCSO]-PROPERTY-LOST/FOUND/RECOVERED,Other,PROPERTY-LOST/FOUND/RECOVERED
